vuln_id,asset_id,vulnerability_name,cve,severity,cvss,exploit_available,patch_available,days_open,asset_exposure,auth_required,status,affected_component,asset_name,asset_type,environment,owner_team,business_service,internet_exposed,criticality,data_classification,edr_installed,last_seen_days,location,vendor_product,business_owner,business_impact,customer_facing,compliance_scope,revenue_impact,rto_hours,depends_on,risk_appetite,matched_cve_or_control,threat_actor,campaign_name,ransomware_association,cveID,knownRansomwareCampaignUse,threat_score,exposure_score,criticality_score,severity_score,hygiene_score,risk_score
V-2001,A-1001,Remote Code Execution in Web Framework,CVE-SYN-2026-0001,Critical,9.8,Yes,Yes,18,Internet,No,Open,Web Framework,auth-gateway-prod-01,Web Server,Production,Identity Team,Customer Login,Yes,Critical,Customer PII,Yes,1,UAE,nginx 1.22 / Ubuntu 22.04,Chief Digital Officer,Users cannot authenticate to the customer portal; all customer-facing transactions blocked,Yes,GDPR,Critical,1,Identity Verification,Very Low,CVE-SYN-2026-0001,ShadowMint,Portal Crush,No,,Unknown,3.5,10.0,8.929166666666667,9.86,0.36666666666666664,6.804958333333333
V-2002,A-1001,OpenSSH Unauthenticated RCE (regreSSHion),CVE-2024-6387,High,8.1,Yes,Yes,42,Internet,No,Open,OpenSSH,auth-gateway-prod-01,Web Server,Production,Identity Team,Customer Login,Yes,Critical,Customer PII,Yes,1,UAE,nginx 1.22 / Ubuntu 22.04,Chief Digital Officer,Users cannot authenticate to the customer portal; all customer-facing transactions blocked,Yes,GDPR,Critical,1,Identity Verification,Very Low,,None observed,,No,,Unknown,1.5,10.0,8.929166666666667,7.77,0.7666666666666667,6.035958333333334
V-2003,A-1001,Outdated TLS Configuration,CVE-SYN-2025-0182,Medium,5.9,No,Yes,74,Internet,No,Open,TLS,auth-gateway-prod-01,Web Server,Production,Identity Team,Customer Login,Yes,Critical,Customer PII,Yes,1,UAE,nginx 1.22 / Ubuntu 22.04,Chief Digital Officer,Users cannot authenticate to the customer portal; all customer-facing transactions blocked,Yes,GDPR,Critical,1,Identity Verification,Very Low,,None observed,,No,,Unknown,0.0,10.0,8.929166666666667,5.33,1.2999999999999998,5.395291666666667
V-2004,A-1001,Missing HTTP Security Headers,CVE-SYN-2024-0901,Low,3.7,No,Yes,120,Internet,No,Open,HTTP Config,auth-gateway-prod-01,Web Server,Production,Identity Team,Customer Login,Yes,Critical,Customer PII,Yes,1,UAE,nginx 1.22 / Ubuntu 22.04,Chief Digital Officer,Users cannot authenticate to the customer portal; all customer-facing transactions blocked,Yes,GDPR,Critical,1,Identity Verification,Very Low,,None observed,,No,,Unknown,0.0,10.0,8.929166666666667,2.8899999999999997,2.0666666666666664,5.2279583333333335
V-2005,A-1002,API Authentication Bypass,CVE-SYN-2026-0002,Critical,9.6,Yes,Yes,9,Internet,No,Open,API Gateway,idv-gateway-prod,API Server,Production,Identity Team,Identity Verification,Yes,Critical,Customer PII,Yes,1,UAE,Node.js 18 / Ubuntu 22.04,Chief Digital Officer,KYC and onboarding fails; regulatory obligations at risk,Yes,"GDPR, UAE PDPL",Critical,1,,Very Low,CVE-SYN-2026-0002,BlueRaven,API Ghost,No,,Unknown,3.5,10.0,9.079166666666666,9.719999999999999,0.21666666666666667,6.813458333333333
V-2006,A-1002,OpenSSH Unauthenticated RCE (regreSSHion),CVE-2024-6387,High,8.1,Yes,Yes,39,Internet,No,Open,OpenSSH,idv-gateway-prod,API Server,Production,Identity Team,Identity Verification,Yes,Critical,Customer PII,Yes,1,UAE,Node.js 18 / Ubuntu 22.04,Chief Digital Officer,KYC and onboarding fails; regulatory obligations at risk,Yes,"GDPR, UAE PDPL",Critical,1,,Very Low,,None observed,,No,,Unknown,1.5,10.0,9.079166666666666,7.77,0.7166666666666667,6.068458333333333
V-2007,A-1002,Verbose API Error Disclosure,CVE-SYN-2024-0144,Low,3.1,No,Yes,120,Internet,No,Open,Application Config,idv-gateway-prod,API Server,Production,Identity Team,Identity Verification,Yes,Critical,Customer PII,Yes,1,UAE,Node.js 18 / Ubuntu 22.04,Chief Digital Officer,KYC and onboarding fails; regulatory obligations at risk,Yes,"GDPR, UAE PDPL",Critical,1,,Very Low,,None observed,,No,,Unknown,0.0,10.0,9.079166666666666,2.4699999999999998,2.0666666666666664,5.223458333333333
V-2008,A-1002,Unvalidated Redirect in OAuth Flow,CVE-SYN-2025-0312,Medium,6.1,No,Yes,55,Internet,No,Open,OAuth Handler,idv-gateway-prod,API Server,Production,Identity Team,Identity Verification,Yes,Critical,Customer PII,Yes,1,UAE,Node.js 18 / Ubuntu 22.04,Chief Digital Officer,KYC and onboarding fails; regulatory obligations at risk,Yes,"GDPR, UAE PDPL",Critical,1,,Very Low,,None observed,,No,,Unknown,0.0,10.0,9.079166666666666,5.47,0.9833333333333334,5.415125
V-2009,A-1003,Payment API Insecure Direct Object Reference,CVE-SYN-2026-0010,Critical,9.1,Yes,Yes,11,Internet,No,Open,Payment Handler,payment-api-prod-01,API Server,Production,Payments Team,Payment Processing,Yes,Critical,Payment Card Data,Yes,1,UAE,Node.js 20 / Ubuntu 22.04,CFO,Payments and fund transfers fail; PCI DSS breach obligations triggered,Yes,PCI DSS,Critical,1,"Customer Login, Fraud Detection",Very Low,CVE-SYN-2026-0010,IronVeil,CitrixBleed Exploitation,Yes,,Unknown,7.0,10.0,9.129166666666666,9.37,0.25,7.844291666666667
V-2010,A-1003,OpenSSH Unauthenticated RCE (regreSSHion),CVE-2024-6387,High,8.1,Yes,Yes,41,Internet,No,Open,OpenSSH,payment-api-prod-01,API Server,Production,Payments Team,Payment Processing,Yes,Critical,Payment Card Data,Yes,1,UAE,Node.js 20 / Ubuntu 22.04,CFO,Payments and fund transfers fail; PCI DSS breach obligations triggered,Yes,PCI DSS,Critical,1,"Customer Login, Fraud Detection",Very Low,,None observed,,No,,Unknown,1.5,10.0,9.129166666666666,7.77,0.7499999999999999,6.084291666666667
